===== Export Data Var P =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[X],[Y],[Z],[RX],[RY],[RZ],[FIG],[Usage],[Macro]
0,0,0,0,0,0,0,-1 - Undefined,"",
1,0,0,0,0,0,0,-1 - Undefined,"",
2,0,0,0,0,0,30.13,-1 - Undefined,"",
3,0,0,0,0,0,0,-1 - Undefined,"",
4,0,0,0,0,0,0,-1 - Undefined,"",
5,0,0,0,0,0,0,-1 - Undefined,"",
6,0,0,0,0,0,0,-1 - Undefined,"",
7,0,0,0,0,0,0,-1 - Undefined,"",
8,0,0,0,0,0,0,-1 - Undefined,"",
9,0,0,0,0,0,0,-1 - Undefined,"",
10,0,0,0,0,0,0,-1 - Undefined,"",
11,0,0,0,0,0,0,-1 - Undefined,"",
12,0,0,0,0,0,0,-1 - Undefined,"",
13,0,0,0,0,0,0,-1 - Undefined,"",
14,0,0,0,0,0,0,-1 - Undefined,"",
15,0,0,0,0,0,0,-1 - Undefined,"",
16,0,0,0,0,0,0,-1 - Undefined,"",
17,0,0,0,0,0,0,-1 - Undefined,"",
18,0,0,0,0,0,0,-1 - Undefined,"",
19,0,0,0,0,0,0,-1 - Undefined,"",
20,0,0,0,0,0,0,-1 - Undefined,"",
21,0,0,0,0,0,0,-1 - Undefined,"",
22,-240.8077,242.841,337.0856,180,.01,3.571098E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Pre Place Lower Housing - Direct",
23,-19.05559,-2.758076,305.9092,180,0,-.2,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Lower Housing Pick Point",
24,-41.6,-40.2,60,180,0,-.2,1 - Lefty | Above | Flip | J6Single | J4Single | J1Single,"Pre Pick Lower Housing",
25,-41.6,-40.2,12.5,180,0,-.2,1 - Lefty | Above | Flip | J6Single | J4Single | J1Single,"Pick Lower Housing",
26,-240.7869,242.8351,315,180,.01,1.663394E-03,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Place Lower Housing",
27,-19.05559,-2.758076,245,-180,4.184537E-13,-101.6455,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Way point for move to park",
28,-19.05559,-2.758076,190,-180,4.184537E-13,-101.6455,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Way point for move to park",
29,-19.05559,-2.758076,125,-180,4.184537E-13,-101.6455,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Way point for move to park",
30,0,0,0,0,0,0,-1 - Undefined,"",
31,0,0,0,0,0,0,-1 - Undefined,"",
32,0,0,0,0,0,0,-1 - Undefined,"",
33,0,0,0,0,0,0,-1 - Undefined,"",
34,0,0,0,0,0,0,-1 - Undefined,"",
35,0,0,0,0,0,0,-1 - Undefined,"",
36,0,0,0,0,0,0,-1 - Undefined,"",
37,0,0,0,0,0,0,-1 - Undefined,"",
38,0,0,0,0,0,0,-1 - Undefined,"",
39,205.5,-77.6809,450,-160.6554,5.045129E-04,-5.871727E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Above Labeler",
40,205.5,-77.6809,400,-160.6554,5.045129E-04,-5.871727E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Start Labeling",
41,0,0,0,0,0,0,-1 - Undefined,"",
42,205.5,-92.22591,390.2,-156.2382,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Applying label edge motion",
43,205.5,-98.73098,385.9,-153.522,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Applying label edge motion",
44,205.5,-106.2328,379,-150.4955,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Applying label edge motion",
45,205.5,-113.7891,371.8,-146.9023,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Applying label edge motion",
46,205.5,-123.8819,368.3,-139.8162,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Applying label edge motion",
47,205.5,-130.1509,363,-139.8162,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Label Y Adjust",
48,205.5,-130.1509,351.6,-139.8162,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Label Z down",
49,205.5,-172.7381,315.7,-139.8162,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Label - Slide",
50,205.5,-172.4248,369.3063,-137.9521,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Depart Barcode Scanner 1",
51,78.34702,-6.094154,500,180,-9.665933E-15,-8.886295E-15,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Depart Barcode Scanner 2",
52,205.5,-202.3078,404.4021,-139.8162,5.482377E-04,-5.465716E-04,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Going home waypoint",
53,205.5024,-196.7141,344.1,-131.2986,1.648353E-03,4.789445E-03,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Present label to scanner",
54,205.5024,-196.7141,499.8,180,1.648353E-03,4.789445E-03,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint to reject bin",
55,-166.0898,479.4782,628.284,180,1.648353E-03,4.789445E-03,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach reject bin - Direct",
56,-166.0898,479.4782,337.3148,180,1.648353E-03,4.789445E-03,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Reject bin - Direct",
57,0,0,0,0,0,0,-1 - Undefined,"",
58,0,0,0,0,0,0,-1 - Undefined,"",
59,0,0,0,0,0,0,-1 - Undefined,"",
60,-246.1891,242.288,560,180,0,180,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Unload - Approach pallet - Direct",
61,-246.1891,242.288,449,-179.997,8.640789E-03,-179.6596,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Unload - Enter hopper",
62,-177.4578,359.495,652.2696,140.71,1.699032,-92.0303,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 1 to rotator - Direct",
63,-288.4205,350.419,654.9261,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 2 to rotator - Direct",
64,-406.4658,350.419,654.9261,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Rotator",
65,-406.4658,350.419,579.5118,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Place Rotator",
66,-229.4955,350.427,579.5015,90.36368,-8.168633,-91.03029,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Retract Rotator - Direct",
67,-426.2529,398.9617,581.4812,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Whirl Bottom",
68,-447.5536,399.3723,581.359,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Pick Whirl Bottom",
69,-447.5536,399.3723,684.9095,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Depart Rotator",
70,-265.2162,399.3723,684.9095,90.33139,0,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 1 Boxing -Direct",
71,-265.2162,399.3723,684.9095,132.3452,.7678942,-90.85233,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 2 Boxing - Direct",
