===== Export Data Var S =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[Value],[Usage],[Macro]
0,"","",
1,"","",
2,"","",
3,"","",
4,"","",
5,"","",
6,"","",
7,"","",
8,"","",
9,"","",
10,"Robot 1 is not near park position. Is it safe to close hand and move to park position?","Error output",
11,"","",
12,"","",
13,"","",
14,"","",
15,"","",
16,"","",
17,"","",
18,"","",
19,"","",
20,"","",
21,"","",
22,"","",
23,"","",
24,"","",
25,"","",
26,"","",
27,"","",
28,"","",
29,"","",
30,"","",
31,"","",
32,"","",
33,"","",
34,"","",
35,"","",
36,"","",
37,"","",
38,"","",
39,"","",
40,"","",
41,"","",
42,"","",
43,"","",
44,"","",
45,"","",
46,"","",
47,"","",
48,"","",
49,"","",
