===== Export Data Var T =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[X],[Y],[Z],[OX],[OY],[OZ],[AX],[AY],[AZ],[FIG],[Usage],[Macro]
0,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
1,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
2,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
3,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
4,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
5,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
6,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
7,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
8,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
9,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
10,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
11,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
12,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
13,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
14,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
15,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
16,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
17,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
18,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
19,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
20,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
21,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
22,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
23,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
24,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
25,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
26,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
27,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
28,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
29,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
30,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
31,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
32,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
33,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
34,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
35,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
36,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
37,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
38,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
39,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
40,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
41,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
42,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
43,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
44,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
45,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
46,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
47,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
48,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
49,0,0,0,0,0,0,0,0,0,-1 - Undefined,"",
